State,ID,Abbreviation,WirelineN,WirelessN,VoIPN,TextsN,Longitude,Latitude,Total,Wireline,Wireless,VoIP,Texts
South Dakota,south dakota,SD,29291,305531,8608,1319,-99.901813,38.910832,344749,8.496326313,88.62418745,2.496889041,0.382597194
Tennessee,tennessee,TN,0,0,0,0,-86.580447,38.910832,0,0,0,0,0
Texas,texas,TNA,1570428,17960054,1117411,162348,-99.901813,38.910832,20810241,7.546419092,86.30392123,5.369524553,0.780135127
Utah,utah,UT,31581,1038820,44454,3510,-111.093731,38.910832,1118365,2.823854466,92.88738471,3.974909801,0.313851024
Vermont,vermont,VT,29603,178335,24692,475,-72.577841,38.910832,233105,12.6994273,76.50415049,10.59265138,0.203770833
Virgin Islands (U.S.),virgin islands (u.s.),VI,0,0,0,0,-83.824066,38.910832,0,0,0,0,0
Virginia,virginia,VA,543378,3408164,255328,0,-78.656894,38.910832,4206870,12.91644382,81.01424575,6.069310437,0
Washington,washington,WA,404921,4670887,369812,15745,-120.740139,38.910832,5461365,7.414281961,85.52599945,6.771420698,0.288297889
Wisconsin,wisconsin,WI,0,0,0,0,-88.787868,38.910832,0,0,0,0,0
Wyoming,wyoming,WY,26278,246700,5453,682,-107.290284,38.910832,279113,9.41482482,88.38714069,1.953689008,0.24434548
